MeanB,MedianB,RMSB,FinalB
8.157616858051632,8.157616858051632,8.157616858051632,8.157616858051632
5.5854482213972805,5.5854482213972805,5.5854482213972805,5.585448221397281
2.5818102069355673,2.5818102069355673,2.5818102069355673,2.5818102069355673
5.540664394972526,5.540664394972526,5.540664394972526,5.540664394972526
9.270707673163127,9.270707673163127,9.270707673163127,9.270707673163127
2.310200039272203,2.310200039272203,2.310200039272203,2.310200039272203
8.578721563719157,8.578721563719157,8.578721563719157,8.578721563719157
4.780583566757758,4.780583566757758,4.780583566757758,4.780583566757758
6.3061457363783555,6.3061457363783555,6.3061457363783555,6.3061457363783555
6.149689839423389,6.149689839423389,6.149689839423389,6.149689839423389
8.362711766938151,8.362711766938151,8.362711766938151,8.362711766938151
1.2271439821557926,1.2271439821557926,1.2271439821557926,1.2271439821557926
2.04989661314113,2.04989661314113,2.04989661314113,2.04989661314113
1.9559155238230972,1.9559155238230972,1.9559155238230972,1.9559155238230972
5.86774657146929,5.86774657146929,5.86774657146929,5.86774657146929
2.454287964311585,2.454287964311585,2.454287964311585,2.454287964311585
2.271532872686526,2.271532872686526,2.271532872686526,2.271532872686526
1.840715973233689,1.840715973233689,1.840715973233689,1.8407159732336893
3.542720007551135,3.542720007551135,3.542720007551135,3.5427200075511345
5.368110374846982,5.368110374846982,5.368110374846982,5.368110374846982
4.124699842282749,4.124699842282749,4.124699842282749,4.124699842282749
3.676164693156588,3.676164693156588,3.676164693156588,3.676164693156588
6.924206573911604,6.924206573911604,6.924206573911604,6.924206573911604
2.1731293908741303,2.1731293908741303,2.1731293908741303,2.1731293908741303
1.1551000196361014,1.1551000196361014,1.1551000196361014,1.1551000196361014
3.266268836260519,3.266268836260519,3.266268836260519,3.266268836260519
4.543065745373052,4.543065745373052,4.543065745373052,4.543065745373052
4.705882352941177,4.705882352941177,4.705882352941177,4.705882352941177
5.344336976301455,5.344336976301455,5.344336976301455,5.344336976301455
4.584312048172255,4.584312048172255,4.584312048172255,4.584312048172255
9.106824696641707,9.106824696641707,9.106824696641707,9.106824696641707
6.569300521559396,6.569300521559396,6.569300521559396,6.569300521559396
4.09979322628226,4.09979322628226,4.09979322628226,4.09979322628226
3.519200915904801,3.519200915904801,3.519200915904801,3.519200915904801
3.9118310476461944,3.9118310476461944,3.9118310476461944,3.9118310476461944
8.249399684565498,8.249399684565498,8.249399684565498,8.249399684565498
6.33592492353549,6.33592492353549,6.33592492353549,6.33592492353549
4.660962076014827,4.660962076014827,4.660962076014827,4.660962076014827
2.9538550261600403,2.9538550261600403,2.9538550261600403,2.9538550261600403
2.3529411764705883,2.3529411764705883,2.3529411764705883,2.3529411764705883
3.026983607122025,3.026983607122025,3.026983607122025,3.026983607122025
4.474920501507227,4.474920501507227,4.474920501507227,4.474920501507227
9.16862409634451,9.16862409634451,9.16862409634451,9.16862409634451
6.05396721424405,6.05396721424405,6.05396721424405,6.05396721424405
1.3079474926764514,1.3079474926764514,1.3079474926764514,1.3079474926764514
3.0885434019972524,3.0885434019972524,3.0885434019972524,3.0885434019972524
4.901803919058744,4.901803919058744,4.901803919058744,4.901803919058744
