MeanB,MedianB,RMSB,FinalB
5.2317899707058055,5.2317899707058055,5.2317899707058055,5.2317899707058055
2.3090014918300414,2.3090014918300414,2.3090014918300414,2.3090014918300414
4.675194054407451,4.675194054407451,4.675194054407451,4.675194054407451
6.084980658915619,6.084980658915619,6.084980658915619,6.084980658915619
7.919316317350637,7.919316317350637,7.919316317350637,7.919316317350638
5.165228433969451,5.165228433969451,5.165228433969451,5.165228433969451
6.766905013387406,6.766905013387406,6.766905013387406,6.766905013387405
4.384306710156091,4.384306710156091,4.384306710156091,4.384306710156091
8.037283364136947,8.037283364136947,8.037283364136947,8.037283364136947
6.8421652211485515,6.8421652211485515,6.8421652211485515,6.8421652211485515
5.773582601415114,5.773582601415114,5.773582601415114,5.773582601415114
2.7125238187208662,2.7125238187208662,2.7125238187208662,2.7125238187208662
4.078808429025816,4.078808429025816,4.078808429025816,4.078808429025816
4.620400078544406,4.620400078544406,4.620400078544406,4.620400078544406
6.360344270458503,6.360344270458503,6.360344270458503,6.360344270458502
8.119863295080517,8.119863295080517,8.119863295080517,8.119863295080517
6.177086803994505,6.177086803994505,6.177086803994505,6.177086803994505
6.104964228830019,6.104964228830019,6.104964228830019,6.104964228830018
7.861429648897679,7.861429648897679,7.861429648897679,7.861429648897679
7.568647769961551,7.568647769961551,7.568647769961551,7.568647769961551
7.823662095292389,7.823662095292389,7.823662095292389,7.823662095292389
5.261862524984276,5.261862524984276,5.261862524984276,5.261862524984276
5.899739012466984,5.899739012466984,5.899739012466984,5.899739012466984
3.370542038488468,3.370542038488468,3.370542038488468,3.370542038488468
0.0,0.0,0.0,0.0
4.259408474616308,4.259408474616308,4.259408474616308,4.259408474616308
6.464382050445165,6.464382050445165,6.464382050445165,6.464382050445164
2.390291783378879,2.390291783378879,2.390291783378879,2.390291783378879
5.980360012771215,5.980360012771215,5.980360012771215,5.980360012771215
1.685271019244234,1.685271019244234,1.685271019244234,1.685271019244234
8.901770750325436,8.901770750325436,8.901770750325436,8.901770750325436
7.932238979311799,7.932238979311799,7.932238979311799,7.932238979311799
